source,domain,mode,accuracy,loss
WAL,10,lat,0.9019607843137255,0.3245921698829783
WAL,10,ref,0.9444444444444444,0.21820389032799378
WAL,10,joint,0.9444444444444444,0.21122806293439148
WAL,11,lat,0.9776247848537005,0.06630733160086125
WAL,11,ref,0.9810671256454389,0.053859533572540905
WAL,11,joint,0.9793459552495697,0.06521177042203982
WAL,12,lat,0.9601386481802426,0.193518564481411
WAL,12,ref,0.9740034662045061,0.11278232267365523
WAL,12,joint,0.9688041594454073,0.14879592886189594
WAL,13,lat,0.9623824451410659,0.10227736531770688
WAL,13,ref,0.9780564263322884,0.039701960627883184
WAL,13,joint,0.9592476489028213,0.07501703214169879
WAL,14,lat,0.963855421686747,0.09866355032529493
WAL,14,ref,0.9621342512908778,0.11017956511595046
WAL,14,joint,0.9621342512908778,0.1017873592037001
RUN,10,lat,0.8974763406940063,0.5699329067172811
RUN,10,ref,0.9022082018927445,0.37182021642938706
RUN,10,joint,0.9006309148264984,0.40832066731636585
RUN,11,lat,0.9222972972972973,0.3522961476479223
RUN,11,ref,0.902027027027027,0.3862939806425906
RUN,11,joint,0.910472972972973,0.3619949877337868
RUN,12,lat,0.860738255033557,0.9585934333075496
RUN,12,ref,0.87751677852349,0.6114289546971313
RUN,12,joint,0.8708053691275168,0.6616094991532966
RUN,13,lat,0.9941860465116279,0.04921212418845626
RUN,13,ref,0.9796511627906976,0.06536179279481241
RUN,13,joint,0.9796511627906976,0.060891140976309543
RUN,14,lat,0.8553054662379421,0.6452782358944368
RUN,14,ref,0.860128617363344,0.5200762552065918
RUN,14,joint,0.8633440514469454,0.5385018675886573
CLD,10,lat,0.9426470588235294,0.33212346910386525
CLD,10,ref,0.9294117647058824,0.31348634788656815
CLD,10,joint,0.9264705882352942,0.30144937059162924
CLD,11,lat,0.9110764430577223,0.315420346890725
CLD,11,ref,0.8767550702028081,0.4195071372693979
CLD,11,joint,0.8939157566302652,0.36227155394177196
CLD,12,lat,0.9216867469879518,0.39923062671209664
CLD,12,ref,0.9322289156626506,0.3518229376907488
CLD,12,joint,0.927710843373494,0.35227599646523394
CLD,13,lat,0.9752851711026616,0.085773304035959
CLD,13,ref,0.967680608365019,0.10156273018940214
CLD,13,joint,0.9790874524714829,0.05889656996755961
CLD,14,lat,0.9145962732919255,0.31572276060134297
CLD,14,ref,0.9161490683229814,0.32718523873220473
CLD,14,joint,0.9192546583850931,0.29915867490718406
CLU,10,lat,0.9229559748427673,0.2978992715498362
CLU,10,ref,0.9386792452830188,0.1909748388987694
CLU,10,joint,0.9339622641509434,0.24808614549014543
CLU,11,lat,0.9579967689822294,0.17293070179823639
CLU,11,ref,0.9644588045234249,0.1392472825444622
CLU,11,joint,0.9596122778675282,0.14834189007778073
CLU,12,lat,0.9424342105263158,0.3213264582850619
CLU,12,ref,0.9358552631578947,0.26636668196214497
CLU,12,joint,0.9342105263157895,0.31220164097657066
CLU,13,lat,0.996,0.003999124696942857
CLU,13,ref,0.996,0.005393098142654651
CLU,13,joint,0.996,0.009340658579439776
CLU,14,lat,0.9614147909967846,0.1966286391477872
CLU,14,ref,0.954983922829582,0.20299295249559976
CLU,14,joint,0.9630225080385852,0.16066656523422465
