mode,source,domain,accuracy,loss
ref,IR,4,0.37261146496815284,5.765955433497826
ref,IR,5,0.34907161803713527,6.313114599386851
ref,IR,6,0.3322751322751323,6.088556267817816
ref,IR,7,0.3119363395225464,7.230792297919591
lat,IR,4,0.46231422505307856,3.783991273244222
lat,IR,5,0.3877984084880637,5.46657782693704
lat,IR,6,0.40634920634920635,5.337903886040052
lat,IR,7,0.2907161803713528,5.9566052516301475
ref,Ball,4,0.1246684350132626,9.23837484518687
ref,Ball,5,0.18683651804670912,7.247559801737467
ref,Ball,6,0.2018008474576271,8.624170792102813
ref,Ball,7,0.2770700636942675,7.68827178478241
lat,Ball,4,0.32785145888594164,5.765785757700602
lat,Ball,5,0.3190021231422505,4.469320950905482
lat,Ball,6,0.329978813559322,5.710310892264048
lat,Ball,7,0.3386411889596603,5.61397780974706
ref,OR_centred,4,0.21295804567180032,5.86224666039149
ref,OR_centred,5,0.19330855018587362,4.393627675374349
ref,OR_centred,6,0.15095338983050846,5.115870865186055
ref,OR_centred,7,0.07480106100795755,6.046915404001871
lat,OR_centred,4,0.2857142857142857,4.543189808726311
lat,OR_centred,5,0.25385023898035053,4.534150931239128
lat,OR_centred,6,0.2621822033898305,4.883061076203982
lat,OR_centred,7,0.1984084880636605,5.455305282274882
ref,OR_orthogonal,4,0.40137857900318136,6.923029734690984
ref,OR_orthogonal,5,0.36059479553903345,6.869660197695096
ref,OR_orthogonal,6,0.2992584745762712,8.317409169673919
ref,OR_orthogonal,7,0.2351380042462845,9.324289882183075
lat,OR_orthogonal,4,0.42311770943796395,6.273870065187414
lat,OR_orthogonal,5,0.36909187466808285,5.804996200402578
lat,OR_orthogonal,6,0.3580508474576271,7.104422756036123
lat,OR_orthogonal,7,0.3619957537154989,6.936489868164062
ref,OR_opposite,4,0.33191940615058324,5.495256133377552
ref,OR_opposite,5,0.35459861775651247,5.254935868162041
ref,OR_opposite,6,0.37910922587486745,6.119594271294773
ref,OR_opposite,7,0.38918345705196183,5.237459420661131
lat,OR_opposite,4,0.3388123011664899,4.996944980488236
lat,OR_opposite,5,0.35353535353535354,5.034610187729413
lat,OR_opposite,6,0.3886532343584305,5.521863432887282
lat,OR_opposite,7,0.4146341463414634,4.715531157118191
